Region,Country Code,Year,Population
WORLD,900,2020,7794798.729
WORLD,900,2021,7874751.698
WORLD,900,2022,7953746.553
WORLD,900,2023,8031752.245
WORLD,900,2024,8108747.515
WORLD,900,2025,8184719.181
WORLD,900,2026,8259664.722
WORLD,900,2027,8333590.192
WORLD,900,2028,8406509.302
WORLD,900,2029,8478440.203
WORLD,900,2030,8549397.152
WORLD,900,2031,8619381.402
WORLD,900,2032,8688373.461
WORLD,900,2033,8756329.592
WORLD,900,2034,8823191.025
WORLD,900,2035,8888913.146
WORLD,900,2036,8953474.388
WORLD,900,2037,9016875.822
WORLD,900,2038,9079122.122
WORLD,900,2039,9140227.158
WORLD,900,2040,9200198.917
WORLD,900,2041,9259032.892
WORLD,900,2042,9316714.512
WORLD,900,2043,9373229.729
WORLD,900,2044,9428561.54
WORLD,900,2045,9482696.477
WORLD,900,2046,9535628.723
WORLD,900,2047,9587356.387
WORLD,900,2048,9637875.961
WORLD,900,2049,9687185.251
WORLD,900,2050,9735283.098
WORLD,900,2051,9782172.874
WORLD,900,2052,9827855.644
WORLD,900,2053,9872326.628
WORLD,900,2054,9915579.708
WORLD,900,2055,9957614.125
WORLD,900,2056,9998433.19
WORLD,900,2057,10038051.863
WORLD,900,2058,10076499.584
WORLD,900,2059,10113813.551
WORLD,900,2060,10150025.713
WORLD,900,2061,10185153.844
WORLD,900,2062,10219207.278
WORLD,900,2063,10252197.536
WORLD,900,2064,10284133.877
WORLD,900,2065,10315026.856
WORLD,900,2066,10344891.972
WORLD,900,2067,10373745.994
WORLD,900,2068,10401602.859
WORLD,900,2069,10428475.478
WORLD,900,2070,10454378.303
WORLD,900,2071,10479325.293
WORLD,900,2072,10503333.219
WORLD,900,2073,10526421.655
WORLD,900,2074,10548611.413
WORLD,900,2075,10569922.296
WORLD,900,2076,10590372.881
WORLD,900,2077,10609977.76
WORLD,900,2078,10628748.11
WORLD,900,2079,10646692.828
WORLD,900,2080,10663823.567
WORLD,900,2081,10680150.161
WORLD,900,2082,10695691.662
WORLD,900,2083,10710480.008
WORLD,900,2084,10724553.48
WORLD,900,2085,10737941.615
WORLD,900,2086,10750657.602
WORLD,900,2087,10762703.176
WORLD,900,2088,10774082.28
WORLD,900,2089,10784792.696
WORLD,900,2090,10794832.26
WORLD,900,2091,10804196.974
WORLD,900,2092,10812883.515
WORLD,900,2093,10820885.55
WORLD,900,2094,10828195.534
WORLD,900,2095,10834800.668
WORLD,900,2096,10840685.419
WORLD,900,2097,10845829.44
WORLD,900,2098,10850208.334
WORLD,900,2099,10853793.584
WORLD,900,2100,10856552.081
UN development groups,1803,2020,...
UN development groups,1803,2021,...
UN development groups,1803,2022,...
UN development groups,1803,2023,...
UN development groups,1803,2024,...
UN development groups,1803,2025,...
UN development groups,1803,2026,...
UN development groups,1803,2027,...
UN development groups,1803,2028,...
UN development groups,1803,2029,...
UN development groups,1803,2030,...
UN development groups,1803,2031,...
UN development groups,1803,2032,...
UN development groups,1803,2033,...
UN development groups,1803,2034,...
UN development groups,1803,2035,...
UN development groups,1803,2036,...
UN development groups,1803,2037,...
UN development groups,1803,2038,...
UN development groups,1803,2039,...
UN development groups,1803,2040,...
UN development groups,1803,2041,...
UN development groups,1803,2042,...
UN development groups,1803,2043,...
UN development groups,1803,2044,...
UN development groups,1803,2045,...
UN development groups,1803,2046,...
UN development groups,1803,2047,...
UN development groups,1803,2048,...
UN development groups,1803,2049,...
UN development groups,1803,2050,...
UN development groups,1803,2051,...
UN development groups,1803,2052,...
UN development groups,1803,2053,...
UN development groups,1803,2054,...
UN development groups,1803,2055,...
UN development groups,1803,2056,...
UN development groups,1803,2057,...
UN development groups,1803,2058,...
UN development groups,1803,2059,...
UN development groups,1803,2060,...
UN development groups,1803,2061,...
UN development groups,1803,2062,...
UN development groups,1803,2063,...
UN development groups,1803,2064,...
UN development groups,1803,2065,...
UN development groups,1803,2066,...
UN development groups,1803,2067,...
UN development groups,1803,2068,...
UN development groups,1803,2069,...
UN development groups,1803,2070,...
UN development groups,1803,2071,...
UN development groups,1803,2072,...
UN development groups,1803,2073,...
UN development groups,1803,2074,...
UN development groups,1803,2075,...
UN development groups,1803,2076,...
UN development groups,1803,2077,...
UN development groups,1803,2078,...
UN development groups,1803,2079,...
UN development groups,1803,2080,...
UN development groups,1803,2081,...
UN development groups,1803,2082,...
UN development groups,1803,2083,...
UN development groups,1803,2084,...
UN development groups,1803,2085,...
UN development groups,1803,2086,...
UN development groups,1803,2087,...
UN development groups,1803,2088,...
UN development groups,1803,2089,...
UN development groups,1803,2090,...
UN development groups,1803,2091,...
UN development groups,1803,2092,...
UN development groups,1803,2093,...
UN development groups,1803,2094,...
UN development groups,1803,2095,...
UN development groups,1803,2096,...
UN development groups,1803,2097,...
UN development groups,1803,2098,...
UN development groups,1803,2099,...
UN development groups,1803,2100,...
More developed regions,901,2020,1273304.261
More developed regions,901,2021,1273133.876
More developed regions,901,2022,1272729.622
More developed regions,901,2023,1272092.376
More developed regions,901,2024,1271224.989
More developed regions,901,2025,1270132.154
More developed regions,901,2026,1268820.758
More developed regions,901,2027,1267299.489
More developed regions,901,2028,1265578.732
More developed regions,901,2029,1263669.814
More developed regions,901,2030,1261583.539
More developed regions,901,2031,1259328.067
More developed regions,901,2032,1256908.032
More developed regions,901,2033,1254323.055
More developed regions,901,2034,1251570.112
More developed regions,901,2035,1248649.237
More developed regions,901,2036,1245563.799
More developed regions,901,2037,1242322.721
More developed regions,901,2038,1238937.734
More developed regions,901,2039,1235423.035
More developed regions,901,2040,1231790.513
More developed regions,901,2041,1228046.963
More developed regions,901,2042,1224196.144
More developed regions,901,2043,1220243.241
More developed regions,901,2044,1216193.072
More developed regions,901,2045,1212049.929
More developed regions,901,2046,1207818.96
More developed regions,901,2047,1203503.912
More developed regions,901,2048,1199105.972
More developed regions,901,2049,1194625.063
More developed regions,901,2050,1190062.03
More developed regions,901,2051,1185420.641
More developed regions,901,2052,1180704.705
More developed regions,901,2053,1175915.692
More developed regions,901,2054,1171054.116
More developed regions,901,2055,1166121.765
More developed regions,901,2056,1161122.716
More developed regions,901,2057,1156062.895
More developed regions,901,2058,1150949.201
More developed regions,901,2059,1145789.516
More developed regions,901,2060,1140592.067
More developed regions,901,2061,1135362.306
More developed regions,901,2062,1130106.885
More developed regions,901,2063,1124835.759
More developed regions,901,2064,1119559.888
More developed regions,901,2065,1114289.138
More developed regions,901,2066,1109030.774
More developed regions,901,2067,1103790.278
More developed regions,901,2068,1098573.557
More developed regions,901,2069,1093385.902
More developed regions,901,2070,1088232.723
More developed regions,901,2071,1083118.447
More developed regions,901,2072,1078048.333
More developed regions,901,2073,1073027.968
More developed regions,901,2074,1068062.863
More developed regions,901,2075,1063157.778
More developed regions,901,2076,1058316.161
More developed regions,901,2077,1053539.778
More developed regions,901,2078,1048829.656
More developed regions,901,2079,1044185.234
More developed regions,901,2080,1039606.604
More developed regions,901,2081,1035094.051
More developed regions,901,2082,1030648.096
More developed regions,901,2083,1026269.147
More developed regions,901,2084,1021957.654
More developed regions,901,2085,1017713.204
More developed regions,901,2086,1013534.442
More developed regions,901,2087,1009419.214
More developed regions,901,2088,1005364.903
More developed regions,901,2089,1001367.794
More developed regions,901,2090,997424.39
More developed regions,901,2091,993530.898
More developed regions,901,2092,989683.766
More developed regions,901,2093,985878.831
More developed regions,901,2094,982111.963
More developed regions,901,2095,978378.254
More developed regions,901,2096,974672.24
More developed regions,901,2097,970988.155
More developed regions,901,2098,967319.408
More developed regions,901,2099,963658.885
More developed regions,901,2100,959998.761
Less developed regions,902,2020,6521494.468
Less developed regions,902,2021,6601617.822
Less developed regions,902,2022,6681016.93099999
Less developed regions,902,2023,6759659.869
Less developed regions,902,2024,6837522.526
Less developed regions,902,2025,6914587.027
Less developed regions,902,2026,6990843.964
Less developed regions,902,2027,7066290.703
Less developed regions,902,2028,7140930.57
Less developed regions,902,2029,7214770.389
Less developed regions,902,2030,7287813.613
Less developed regions,902,2031,7360053.335
Less developed regions,902,2032,7431465.429
Less developed regions,902,2033,7502006.537
Less developed regions,902,2034,7571620.913
Less developed regions,902,2035,7640263.909
Less developed regions,902,2036,7707910.589
Less developed regions,902,2037,7774553.101
Less developed regions,902,2038,7840184.388
Less developed regions,902,2039,7904804.123
Less developed regions,902,2040,7968408.404
Less developed regions,902,2041,8030985.929
Less developed regions,902,2042,8092518.368
Less developed regions,902,2043,8152986.488
Less developed regions,902,2044,8212368.468
Less developed regions,902,2045,8270646.548
Less developed regions,902,2046,8327809.763
Less developed regions,902,2047,8383852.475
Less developed regions,902,2048,8438769.98900001
Less developed regions,902,2049,8492560.188
Less developed regions,902,2050,8545221.06800001
Less developed regions,902,2051,8596752.233
Less developed regions,902,2052,8647150.939
Less developed regions,902,2053,8696410.936
Less developed regions,902,2054,8744525.59199999
Less developed regions,902,2055,8791492.36
Less developed regions,902,2056,8837310.474
Less developed regions,902,2057,8881988.968
Less developed regions,902,2058,8925550.383
Less developed regions,902,2059,8968024.035
Less developed regions,902,2060,9009433.64599999
Less developed regions,902,2061,9049791.538
Less developed regions,902,2062,9089100.393
Less developed regions,902,2063,9127361.777
Less developed regions,902,2064,9164573.989
Less developed regions,902,2065,9200737.718
Less developed regions,902,2066,9235861.198
Less developed regions,902,2067,9269955.716
Less developed regions,902,2068,9303029.302
Less developed regions,902,2069,9335089.576
Less developed regions,902,2070,9366145.58
Less developed regions,902,2071,9396206.846
Less developed regions,902,2072,9425284.886
Less developed regions,902,2073,9453393.687
Less developed regions,902,2074,9480548.54999999
Less developed regions,902,2075,9506764.518
Less developed regions,902,2076,9532056.72
Less developed regions,902,2077,9556437.982
Less developed regions,902,2078,9579918.454
Less developed regions,902,2079,9602507.59399999
Less developed regions,902,2080,9624216.963
Less developed regions,902,2081,9645056.11
Less developed regions,902,2082,9665043.566
Less developed regions,902,2083,9684210.861
Less developed regions,902,2084,9702595.826
Less developed regions,902,2085,9720228.411
Less developed regions,902,2086,9737123.16
Less developed regions,902,2087,9753283.962
Less developed regions,902,2088,9768717.377
Less developed regions,902,2089,9783424.902
Less developed regions,902,2090,9797407.87
Less developed regions,902,2091,9810666.076
Less developed regions,902,2092,9823199.749
Less developed regions,902,2093,9835006.719
Less developed regions,902,2094,9846083.571
Less developed regions,902,2095,9856422.414
Less developed regions,902,2096,9866013.179
Less developed regions,902,2097,9874841.28499999
Less developed regions,902,2098,9882888.926
Less developed regions,902,2099,9890134.699
Less developed regions,902,2100,9896553.32
Least developed countries,941,2020,1057438.163
Least developed countries,941,2021,1082656.94
Least developed countries,941,2022,1108220.556
Least developed countries,941,2023,1134112.43
Least developed countries,941,2024,1160317.419
Least developed countries,941,2025,1186821.087
Least developed countries,941,2026,1213610.78
Least developed countries,941,2027,1240674.765
Least developed countries,941,2028,1268002.391
Least developed countries,941,2029,1295583.813
Least developed countries,941,2030,1323408.516
Least developed countries,941,2031,1351464.847
Least developed countries,941,2032,1379738.858
Least developed countries,941,2033,1408213.733
Least developed countries,941,2034,1436871.177
Least developed countries,941,2035,1465694.486
Least developed countries,941,2036,1494669.345
Least developed countries,941,2037,1523784.653
Least developed countries,941,2038,1553031.147
Least developed countries,941,2039,1582400.858
Least developed countries,941,2040,1611884.783
Least developed countries,941,2041,1641471.38
Least developed countries,941,2042,1671146.924
Least developed countries,941,2043,1700897.362
Least developed countries,941,2044,1730707.736
Least developed countries,941,2045,1760563.647
Least developed countries,941,2046,1790452.74
Least developed countries,941,2047,1820363.239
Least developed countries,941,2048,1850283.049
Least developed countries,941,2049,1880200.428
Least developed countries,941,2050,1910103.526
Least developed countries,941,2051,1939979.967
Least developed countries,941,2052,1969818.127
Least developed countries,941,2053,1999606.733
Least developed countries,941,2054,2029335.463
Least developed countries,941,2055,2058993.097
Least developed countries,941,2056,2088568.036
Least developed countries,941,2057,2118047.763
Least developed countries,941,2058,2147420.767
Least developed countries,941,2059,2176675.534
Least developed countries,941,2060,2205799.888
